
 ++++++++++++++++++++++++++++++++++++++++++++++++
 ++++++++++++++++++++++++++++++++++++++++++++++++
 +++++++++++++++++++++++++++++++++

 NREL-PhaseVI                     ***** XTurb-PSU  -  OUTPUT   -   METHOD *****
   Blade Number      BN =  2

   Solidity
   0.0519
                                  +    BLADE ELEMENT MOMENTUM THEORY (BEMT)   +

  PREDICTION
       VWIND [m/s] RPM [1/min]  PITCH [deg]
       7.0000      72.0000       3.0000

   Number   TSR      PITCH [deg]      CT       CP       CPV      CB       CBV
        1   5.4179   3.0000           0.4979  -0.3495   0.0299  -0.1717  -0.0011

   "Thrust"   >   0      =>      Downwind Direction
   "Torque"   <   0      =>      Energy Extraction 
 (Wind Turbine)   =>   Power = Torque * TSR
   "Bending"  <   0      =>      Flap Bending towards Downwind

   "Axial   Induction Factor"   a       = -ui
   "Angular Induction Factor"   a_prime = +wi/(r/R*TSR)

   r/R     Chord/R Twist[deg] AOA[deg]  PHI[deg] 
  CL       CD       CL/CD    FR       FT       
 ui       wi       a        a_prime
 ------------------------------------------------
 ------------------------------------------------
 ---------------------------------
 ++++++++++++++++++++++++++++++++++++++++++++++++
 ++++++++++++++++++++++++++++++++++++++++++++++++
 +++++++++++++++++++++++++++++++++

 NREL-PhaseVI                     ***** XTurb-PSU  -  OUTPUT   -   METHOD *****
   Blade Number      BN =  2

   Solidity
   0.0519
                                  +    BLADE ELEMENT MOMENTUM THEORY (BEMT)   +

  PREDICTION
       VWIND [m/s] RPM [1/min]  PITCH [deg]
       7.0000      72.0000       3.0000

   Number   TSR      PITCH [deg]      CT       CP       CPV      CB       CBV
        2   5.4179   3.0000           0.4979  -0.3495   0.0299  -0.1717  -0.0011

   "Thrust"   >   0      =>      Downwind Direction
   "Torque"   <   0      =>      Energy Extraction 
 (Wind Turbine)   =>   Power = Torque * TSR
   "Bending"  <   0      =>      Flap Bending towards Downwind

   "Axial   Induction Factor"   a       = -ui
   "Angular Induction Factor"   a_prime = +wi/(r/R*TSR)

   r/R     Chord/R Twist[deg] AOA[deg]  PHI[deg] 
  CL       CD       CL/CD    FR       FT       
 ui       wi       a        a_prime
 ------------------------------------------------
 ------------------------------------------------
 ---------------------------------
   0.2500   0.1465  24.8560    2.3791   27.2351   0.4261   0.0138  30.9396   0.0007   0.9959  -1.0000  -1.3545   1.0000  -1.0000
   0.2750   0.1440  21.9732    3.9268   25.8999   0.6094   0.0139  43.7810   0.4145   0.9985  -0.2262   0.1036   0.2262   0.0695
   0.3000   0.1414  19.1080    5.4568   24.5648   0.7873   0.0127  62.0597   0.5758   0.9977  -0.2142   0.0938   0.2142   0.0577
   0.3250   0.1389  16.9803    6.3101   23.2904   0.8838   0.0112  79.0735   0.6898   0.9967  -0.2053   0.0853   0.2053   0.0485
   0.3500   0.1364  15.2840    6.8728   22.1568   0.9290   0.0129  71.8347   0.7749   0.9954  -0.1965   0.0769   0.1965   0.0405
   0.3750   0.1339  13.6465    7.3628   21.0093   0.9603   0.0145  66.3992   0.8405   0.9939  -0.1926   0.0707   0.1926   0.0348
